listing_id,outlier_decision,outlier_reasons,batch_id,property_type_repaired,city,surface_m2,price_mad,price_per_m2,bedrooms,bathrooms,title_raw,price_raw,url
mubawab.ma:native:8354281,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,unknown,Bouskoura,98.0,10950000.0,111734.69,3.0,3.0,,,https://www.mubawab.ma/fr/a/8354281/superbe-appartment-avec-jardin-privatif-victoria
mubawab.ma:native:8354723,valid_extreme,surface_extreme|price_above_p99,recovery_misplaced_notebook,immeuble,Casablanca,2200.0,16000000.0,7272.73,1.0,1.0,,,https://www.mubawab.ma/fr/a/8354723/vente-immeuble-belv%C3%A9d%C3%A8re
mubawab.ma:native:8356374,uncertain,price_per_m2_above_reference_p99,recovery_misplaced_notebook,studio,Casablanca,55.0,2300000.0,41818.18,2.0,1.0,,,https://www.mubawab.ma/fr/a/8356374/studio-%C3%A0-vendre-%C3%A0-anfa-place
mubawab.ma:native:8357703,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,84.0,7900000.0,94047.62,2.0,2.0,,,https://www.mubawab.ma/fr/a/8357703/appart-84m-%C3%A0-sidi-maarouf-2fa%C3%A7ades-tres-ensoleill%C3%A9
mubawab.ma:native:8357723,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Bouskoura,127.0,15950000.0,125590.55,3.0,2.0,,,https://www.mubawab.ma/fr/a/8357723/appartement-avec-jardin-%C3%A0vendre-bouskoura-victoria
mubawab.ma:native:8358686,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Agadir,78.0,11700000.0,150000.0,2.0,1.0,,,https://www.mubawab.ma/fr/a/8358686/vente-d-un-bel-appartement-%C3%A0-salam-1-pi%C3%A8ce-meubl%C3%A9
mubawab.ma:native:8358828,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,unknown,Marrakech,55.0,4900000.0,89090.91,1.0,1.0,,,https://www.mubawab.ma/fr/a/8358828/nouveau-d%C3%A9veloppement-r%C3%A9sidentiel-en-pr%C3%A9vente-%C3%A0-gueliz-%C3%A0-seulement-5-minutes-de-carr%C3%A9-eden
mubawab.ma:native:8359255,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Berrechid,96.0,10730000.0,111770.83,2.0,2.0,,,https://www.mubawab.ma/fr/a/8359255/appartement-%C3%A0-vendre-96-m%C2%B2-2-chambres-sidi-rahal-chatai-berrechid
mubawab.ma:native:8359338,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,85.0,8815000.0,103705.88,2.0,2.0,,,https://www.mubawab.ma/fr/a/8359338/appartement-%C3%A0-vendre-85-m%C2%B2-%C3%A0-ain-sebaa
mubawab.ma:native:8359858,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Agadir,95.0,7600000.0,80000.0,3.0,1.0,,,https://www.mubawab.ma/fr/a/8359858/appartement-gros-%C5%93uvres-taddart-anza-95m2
mubawab.ma:native:8360927,uncertain,surface_extreme,recovery_misplaced_notebook,duplex,Casablanca,538.0,6300000.0,11710.04,6.0,3.0,,,https://www.mubawab.ma/fr/a/8360927/a-vendre-duplex-538m2-racine
mubawab.ma:native:8360937,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Agadir,58.0,7600000.0,131034.48,2.0,1.0,,,https://www.mubawab.ma/fr/a/8360937/appartement-de-58-m%C2%B2-%C3%A0-vendre-%C3%A0-hay-adrar-%E2%80%93-agadir
mubawab.ma:native:8361848,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Agadir,124.0,11860000.0,95645.16,2.0,1.0,,,https://www.mubawab.ma/fr/a/8361848/vente-d-un-bel-appartement-%C3%A0-tilila-1-pi%C3%A8ce
mubawab.ma:native:8362336,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,114.0,10969000.0,96219.3,2.0,2.0,,,https://www.mubawab.ma/fr/a/8362336/appartement-%C3%A0-vendre-114-m%C2%B2-%C3%A0-casablanca-bernoussi
mubawab.ma:native:8362659,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,78.0,7820000.0,100256.41,3.0,1.0,,,https://www.mubawab.ma/fr/a/8362659/vendre-un-appartement-%C3%A0-hay-idrissia-superficie-78-m%C2%B2-syst%C3%A8me-de-t%C3%A9l%C3%A9vision-par-satellite
mubawab.ma:native:8362698,valid_extreme,price_above_p99|price_per_m2_above_reference_p99,recovery_misplaced_notebook,appartement,Bouskoura,156.0,11300000.0,72435.9,3.0,3.0,,,https://www.mubawab.ma/fr/a/8362698/appartement-haut-standing-%C3%A0-victoria-city
mubawab.ma:native:8362813,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,90.0,10000000.0,111111.11,2.0,2.0,,,https://www.mubawab.ma/fr/a/8362813/vend-appartement-%C3%A0-bernoussi-1-pi%C3%A8ce-meubl%C3%A9
mubawab.ma:native:8363115,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,63.0,7440000.0,118095.24,2.0,1.0,,,https://www.mubawab.ma/fr/a/8363115/appartement-%C3%A9l%C3%A9gant-%C3%A0-vendre-%C3%A0-anassi-15-%E2%80%93-emplace
mubawab.ma:native:8363132,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,103.0,12980000.0,126019.42,2.0,2.0,,,https://www.mubawab.ma/fr/a/8363132/appartement-%C3%A0-vendre-103-m%C2%B2-2-chambres-oulfa-casablanca
mubawab.ma:native:8363191,uncertain,price_per_m2_above_reference_p99,recovery_misplaced_notebook,appartement,Casablanca,118.0,6890000.0,58389.83,3.0,1.0,,,https://www.mubawab.ma/fr/a/8363191/appartement-118-m%C2%B2-%C3%A0-vendre-%C3%A0-ain-borja
mubawab.ma:native:8363351,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,60.0,6620000.0,110333.33,2.0,1.0,,,https://www.mubawab.ma/fr/a/8363351/appartement-%C3%A0-vendre-%E2%80%93-sidi-ma%C3%A2rouf-chaimaa
